city,date,co,no,no2,o3,so2,pm2_5,pm10,nh3
Delhi,13-07-2021,660.9,0.01,31.53,27.18,41.01,29.01,36.05,7.79
Delhi,14-07-2021,834.47,0,35.99,47.92,42.44,36.08,48.54,13.05
Delhi,15-07-2021,1041.41,0.08,40.1,17.52,41.96,45.85,60.76,9.63
Delhi,16-07-2021,767.71,0,28.79,81.54,41.96,44.16,54.3,12.67
Delhi,17-07-2021,1976.01,0.03,56.89,22.53,36.72,141.96,183.43,15.33
Delhi,18-07-2021,1335.14,1.73,47.3,13.59,21.7,58.02,78.28,18.24
Delhi,19-07-2021,741.01,0.25,29.82,12.34,33.85,24.87,27.51,2.72
Delhi,20-07-2021,747.68,3.24,27.76,1.95,17.88,20.39,26.3,3.42
Delhi,21-07-2021,7263.18,166.3,112.41,0,103,504.1,565.69,20.52
Delhi,22-07-2021,1562.12,0.09,49.35,18.6,30.99,102.84,125.21,7.22
Delhi,23-07-2021,1295.09,0.38,42.16,11.8,42.44,85.49,95.31,5.38
Delhi,24-07-2021,2563.48,0.04,62.38,20.03,36.24,197.95,244.05,8.61
Delhi,25-07-2021,1441.96,0,41.13,36.84,22.41,114.26,135.21,7.22
Delhi,26-07-2021,974.66,0,32.9,47.92,23.37,57.87,73.94,9.37
Delhi,27-07-2021,3471.37,33.08,90.48,0,74.39,246.18,288.55,7.98
Delhi,28-07-2021,2029.42,29.95,46.61,0,38.15,89.83,117.24,7.41
Delhi,29-07-2021,4379.27,135.9,62.38,0,139.24,284.37,331.51,14.57
Delhi,30-07-2021,5393.98,100.14,60.32,0,61.99,310.12,409.82,18.24
Delhi,31-07-2021,1321.79,0,42.16,43.27,52.45,102.07,111.85,4.43
Delhi,01-08-2021,1174.93,0,35.3,39.34,25.03,90.62,108.1,6.27
Delhi,02-08-2021,7263.18,130.53,43.53,0,46.73,429.8,565.82,15.33
Delhi,03-08-2021,1708.98,0.48,54.15,10.19,51.02,123.26,144.45,6.33
Delhi,04-08-2021,894.55,0,35.3,45.06,50.07,75.54,86.11,5.7
Delhi,05-08-2021,1161.58,0,42.5,31.83,40.53,94.26,121.35,8.87
Delhi,06-08-2021,2616.88,16.76,65.12,0.02,36.24,161.21,221.79,9.88
Delhi,07-08-2021,5180.36,85.83,82.94,0,56.27,341.31,421.41,7.35
Delhi,08-08-2021,2056.12,4.08,50.04,0.86,25.51,133.59,165.25,7.47
Delhi,09-08-2021,2670.29,15.42,60.32,0.01,31.95,177.14,218.12,9.37
Delhi,10-08-2021,3524.78,68.84,72.66,0,44.35,296.02,341.65,5.95
Delhi,11-08-2021,1455.31,11.85,50.04,0.12,23.13,85.67,210.97,14.44
Delhi,12-08-2021,821.11,0.16,35.3,16.81,18.84,40.18,92.78,15.2
Delhi,13-08-2021,854.49,0.53,35.99,10.1,19.07,38.17,93.16,16.09
Delhi,14-08-2021,654.22,0.02,27.08,28.97,16.93,35.37,92.69,14.57
Delhi,15-08-2021,473.98,0,17.99,35.76,11.8,24.92,63.43,12.41
Delhi,16-08-2021,3791.81,86.73,41.47,0,42.44,190.58,335.06,29.39
